naics_bea,Awarding Agency,Transaction Amount,agency_industry_ratio
331,Department of Defense,620994506.16,0.00013579056981174352
331,Department of Veterans Affairs,67198888.0,0.00017959760948759755
331,Department of the Treasury,17109535315.2,0.3755220623526053
332,Department of Agriculture,8957409.26,0.00032545300433237974
332,Department of Defense,122409778877.18,0.026766893200145473
332,Department of Energy,2688385992.76,0.005006539873200955
332,Department of Health and Human Services,18467800.76,7.521605733810911e-05
332,Department of Homeland Security,212063711.2,0.001493602235205088
332,Department of State,101721996.22,0.0012298926310106595
332,Department of Transportation,9429000.0,0.00026190646961960325
332,Department of Veterans Affairs,261687690.9,0.0006993937714857623
332,Department of the Treasury,2923267348.95,0.06416021028405733
332,General Services Administration,140651977.22,0.0012514726463329952
333,Department of Defense,32732412051.59,0.0071574753716951425
333,Department of Health and Human Services,7173966.36,2.921828495378601e-05
333,Department of Homeland Security,94931638.35,0.0006686203237173237
333,Department of Housing and Urban Development,14538489.95,0.001143380536921859
333,Department of State,237867293.05,0.00287598790578127
333,Department of Veterans Affairs,417468293.77,0.0011157373258610785
333,Department of the Interior,59839595.5,0.0024422513780320487
333,Department of the Treasury,926464165.92,0.0203341427965601
333,General Services Administration,407142073.49,0.003622609352636821
333,National Aeronautics and Space Administration,1172344982.0,0.007849128990901295
334,Agency for International Development,8752597.11,0.00018512317205238247
334,Department of Agriculture,82100260.75,0.0029829804290486617
334,Department of Commerce,611680501.03,0.030978739397411807
334,Department of Defense,255283729838.36,0.05582194817273727
334,Department of Energy,158368868.24,0.0002949279068007892
334,Department of Health and Human Services,1686718847.34,0.006869704908750311
334,Department of Homeland Security,7293019177.87,0.05136602431326404
334,Department of Housing and Urban Development,17096151.0,0.0013445279652084623
334,Department of Justice,942946439.77,0.029688072816037244
334,Department of Labor,78430260.98,0.01097689942744095
334,Department of State,868839437.76,0.010504898269213974
334,Department of Transportation,5900017953.22,0.16388300698060534
334,Department of Veterans Affairs,5363123167.4,0.014333631536471145
334,Department of the Interior,835002303.75,0.03407919973311606
334,Department of the Treasury,890489977.41,0.01954457714139381
334,General Services Administration,2131276947.93,0.018963365142905357
334,National Aeronautics and Space Administration,2733080908.37,0.01829862789685725
334,Office of Personnel Management,26699754.58,0.006843779352646061
334,Securities and Exchange Commission,30566354.91,0.024042819469284885
334,Small Business Administration,9527156.89,0.002942765870219185
334,Social Security Administration,1550804758.26,0.12207544375986729
334,U.S. Agency for Global Media,22623051.0,0.4965945467505611
335,Department of Defense,8377327638.25,0.0018318392227523845
335,Department of Homeland Security,58320729.81,0.0004107632178560497
335,Department of Justice,56373694.0,0.0017748901335151409
335,Department of State,19674629.0,0.00023788051870939403
335,Department of Veterans Affairs,48729486.44,0.00013023577527327982
335,Department of the Interior,55070463.0,0.0022476073413733714
335,General Services Administration,51443964.7,0.0004577306050967876
336,Department of Agriculture,65753216.68,0.0023890369739591358
336,Department of Commerce,1292589793.04,0.06546359133389593
336,Department of Defense,1756622638288.58,0.38411416949952254
336,Department of Energy,114375567.92,0.00021299986045664684
336,Department of Health and Human Services,541148997.27,0.0022040033101981852
336,Department of Homeland Security,16142249482.37,0.11369271890826933
336,Department of Justice,378517589.35,0.011917387118524657
336,Department of State,1638499705.72,0.01981064852109095
336,Department of Transportation,2872277939.79,0.07978239208576374
336,Department of Veterans Affairs,6727422.0,1.797989438775047e-05
336,Department of the Interior,15503943.14,0.0006327670864452206
336,Environmental Protection Agency,13038279.0,0.004302770121866543
336,General Services Administration,652408363.34,0.0058049039700438
336,National Aeronautics and Space Administration,44262512975.21,0.2963480708649167
337,Agency for International Development,49850093.18,0.0010543621808028632
337,Department of Agriculture,9999999.99,0.00036333385531490915
337,Department of Commerce,22797180.2,0.0011545699155399419
337,Department of Defense,503645280.27,0.00011013024899971938
337,Department of Health and Human Services,69879619.13,0.0002846072202940154
337,Department of Homeland Security,49763627.0,0.000350494028886505
337,Department of Justice,25600000.0,0.0008059998235699723
337,Department of Labor,18835140.23,0.002636118220480987
337,Department of State,8298483.2,0.00010033467406766309
337,Department of Transportation,7901459.34,0.00021947643658736245
337,Federal Communications Commission,20258205.75,0.029357072488302063
337,General Services Administration,50149867.42,0.0004462161750857487
337,National Science Foundation,7036429.12,0.0014408196204782266
337,Social Security Administration,9969422.97,0.0007847678610801145
339,Department of Defense,7233189707.81,0.0015816548169701422
339,Department of Health and Human Services,4275916693.58,0.017415045753249245
339,Department of Homeland Security,960198518.84,0.006762848041584395
339,Department of Justice,18520079.5,0.0005830930003711664
339,Department of State,388410275.89,0.00469616163541239
339,Department of Veterans Affairs,7141318034.84,0.01908608439544315
339,Department of the Interior,17115419.0,0.0006985367345664279
339,Department of the Treasury,21947357.52,0.0004817031443149992
339,General Services Administration,121286994.13,0.0010791697245196078
339,National Aeronautics and Space Administration,18262569.0,0.00012227225090492627
42,Agency for International Development,463697626.0,0.009807509053536147
42,Department of Agriculture,970770301.05,0.03527137164584252
42,Department of Commerce,43865469.19,0.002221579625791536
42,Department of Defense,41604123650.03,0.009097419704869695
42,Department of Energy,792530510.0,0.001475917375603403
42,Department of Health and Human Services,3672306189.71,0.014956647871498929
42,Department of Homeland Security,1786640266.27,0.012583623478566593
42,Department of Justice,454692843.90999997,0.014315716873827692
42,Department of Labor,8975996.74,0.001256257626136715
42,Department of State,236811529.98,0.0028632229653737114
42,Department of Transportation,156472022.67000002,0.004346275856584816
42,Department of Veterans Affairs,11209193160.49,0.02995800013697745
42,Department of the Treasury,6798642124.15,0.14921738461184278
42,Federal Communications Commission,18226370.0,0.026412648380205836
42,General Services Administration,135964874.06,0.0012097684235327284
42,Securities and Exchange Commission,7655992.53,0.006022034580144304
42,Social Security Administration,130347941.08000001,0.010260661547350156
44,Agency for International Development,112669529.45,0.0023830344780297248
44,Court Services and Offender Supervision Agency,35145691.0,1.0
44,Department of Agriculture,105791944.15,0.0038437794967716844
44,Department of Commerce,235002517.32,0.01190177180657747
44,Department of Defense,4650270482.37,0.0010168574316131817
44,Department of Health and Human Services,164235567.57999998,0.0006689021626662909
44,Department of Homeland Security,391386152.26,0.0027566019123966687
44,Department of Justice,966241463.36,0.030421501913834057
44,Department of Labor,20294510.2,0.0028403679219094
44,Department of State,161814881.64,0.001956459152516797
44,Department of Transportation,30000000.0,0.0008333008896582987
44,Department of Veterans Affairs,49067269.5,0.00013113854363607484
44,Department of the Interior,98934800.92,0.004037855735207909
44,Department of the Treasury,582350355.47,0.012781493037019451
44,Federal Trade Commission,16600000.0,0.270836179778075
44,General Services Administration,248773403.88,0.002213499705048587
44,National Archives and Records Administration,63327123.43,0.11583406931608986
44,National Science Foundation,26982042.54,0.005524997925682247
44,Nuclear Regulatory Commission,10085136.4,0.030357775333669203
44,Office of Personnel Management,69439957.15,0.01779910536510247
44,Social Security Administration,982707641.09,0.07735626985493264
441,Department of Defense,99512947.0,2.1760127735001594e-05
441,Department of Justice,23500000.0,0.000739882650542748
441,Department of State,164657105.59,0.0019908236992390894
441,Department of Transportation,53801000.0,0.0014944140388168708
441,Department of the Interior,8628800.0,0.0003521698052046983
445,Department of Defense,452401540.31,9.892497008109983e-05
48,Department of Agriculture,17560134.0,0.0006380191192446608
48,Department of Defense,75623109197.44,0.016536225340148637
48,Department of Energy,41426657.0,7.714822597739782e-05
48,Department of Health and Human Services,83889374.83,0.00034166645553909507
48,Department of Homeland Security,3325960223.95,0.023425326269094052
48,Department of Justice,161376028.06,0.005080822271280582
48,Department of State,3179036476.0,0.038436854179408626
48,Department of Transportation,2615467860.32,0.07264905649591143
48,Department of the Interior,8390000.0,0.00034242358910479084
48,General Services Administration,836770071.14,0.007445290681295297
48,National Aeronautics and Space Administration,153401579.54,0.0010270601262465802
48,Smithsonian Institution,11425000.0,0.006961433821188552
481,Agency for International Development,166539517.44,0.0035224200717912254
481,Department of Agriculture,499458498.38,0.018147018196767086
481,Department of Defense,47707320919.7,0.010431983258493848
481,Department of Energy,10774722.63,2.0065600183549017e-05
481,Department of Homeland Security,1126076337.46,0.00793115486437745
481,Department of State,754041097.76,0.00911690316820458
481,Department of the Interior,603586347.48,0.024634350827026582
481,National Aeronautics and Space Administration,4846748438.86,0.03245013564024588
483,Agency for International Development,98095167.3,0.0020747771553242607
483,Department of Defense,23233611566.6,0.005080407833109661
483,Department of Homeland Security,47138921.94,0.00033200776679957565
483,Department of Transportation,288510381.38,0.0080138652493203
484,Department of Defense,1812303855.27,0.0003962897750913863
484,Department of Energy,7609903.0,1.4171805277700239e-05
484,Department of Health and Human Services,36661976.39,0.00014931768834388498
484,Department of Homeland Security,16393446.67,0.00011546194514126473
484,Department of Justice,9879562.42,0.00031105177997923936
484,Department of Veterans Affairs,6909658.0,1.8466943369313706e-05
485,Department of Defense,77219671.85,1.6885339785092554e-05
485,Department of Transportation,755906913.96,0.020996596796724235
485,Department of Veterans Affairs,28557859.3,7.632452582196236e-05
485,Department of the Interior,7971725.0,0.0003253524059423586
486,Agency for International Development,33778663.0,0.0007144408869344663
486,Department of Defense,1260191468.84,0.00027556140340731424
49,Department of Defense,2958406666.54,0.0006469038340909618
49,Department of Health and Human Services,72000000.0,0.00029324315324397377
49,Department of Homeland Security,59267968.1,0.0004174347847130568
49,Department of Justice,133484632.15,0.0042026792953985415
49,Department of Veterans Affairs,459129259.6,0.0012270815771530416
49,Department of the Treasury,59980967.019999996,0.0013164692098471937
49,General Services Administration,84263632.0,0.0007497486534705797
493,Agency for International Development,10000000.0,0.00021150656168199028
493,Department of Agriculture,46718304.0,0.0016974341523068282
493,Department of Defense,7418768563.28,0.0016222346583041809
493,Department of Energy,69230000.03999999,0.00012892596396328043
493,Department of Health and Human Services,2397005071.63,0.0097625739659247
493,Department of Homeland Security,96754142.12,0.0006814565401974477
493,Department of Justice,22402891.58,0.00070534088519286
493,Department of the Treasury,663583603.6,0.014564409773646318
493,General Services Administration,1105704525.47,0.009838176440192595
51,Consumer Financial Protection Bureau,25376296.36,0.16024552670267891
51,Department of Agriculture,621587886.23,0.022584392334683494
51,Department of Commerce,2593270658.29,0.13133695740642937
51,Department of Defense,34915916450.15,0.00763493419544602
51,Department of Education,347788001.69,0.013388567720930231
51,Department of Energy,23809645.03,4.434033562534546e-05
51,Department of Health and Human Services,6038340027.21,0.024593081526921703
51,Department of Homeland Security,4940288099.51,0.03479532309526625
51,Department of Housing and Urban Development,532534067.83,0.04188117820342457
51,Department of Justice,1508796647.99,0.0475035090657385
51,Department of Labor,163884591.82,0.02293686976987223
51,Department of State,818521444.48,0.009896517275505673
51,Department of Transportation,5391725511.21,0.1497643221761546
51,Department of Veterans Affairs,4969168170.32,0.013280736498665438
51,Department of the Interior,419855471.95,0.017135687438665653
51,Department of the Treasury,1472049822.27,0.03230871996000522
