naics,emp_growth,va_growth,gross_output_real,year
11,0.02559056149875762,0.030532582212997934,462919231.09302413,2026
21,-0.06423423828105282,0.002943238051792786,596461345.6046659,2026
22,0.014561848110163585,0.015075578433937808,528489509.6433034,2026
23,0.018697368332356808,0.010685120350777587,1715925332.6408963,2026
31,0.000490845402502927,0.0011177231244907278,5594926862.906852,2026
33,-0.0010229879513730632,0.03745749771215825,2845383146.5468397,2026
42,0.06718896253538964,0.015015649410521196,2141340573.3426743,2026
44,0.08748489310562112,0.033160232275481386,2365109180.1581078,2026
48,0.008151273507775319,0.029359636520854306,1417358869.7217233,2026
49,0.02796764880001608,0.031825924547612655,1380994058.8531306,2026
51,-0.01938846866682033,0.06009454791830152,2909647155.7128997,2026
52,0.03797978016029156,0.018754568747968547,3305773922.686123,2026
53,0.01868217603950075,0.024003190131808842,4747405971.673718,2026
54,0.011143628128048144,0.04104287290116037,3344153869.4473343,2026
55,0.038127334820639576,0.05382123908282339,872132340.8695188,2026
56,0.04345272151991827,0.052943934069761195,1256824835.4509993,2026
61,0.02697385037683607,0.009601299530879103,418562973.80407625,2026
62,0.024240076913152272,0.031954311348166016,3171489072.857175,2026
71,0.03247779202062172,-0.020956592072698482,465556947.3732258,2026
72,0.04530355000100196,0.031653237255826396,1329968162.3598213,2026
81,0.06589222345783129,-0.009966196298582409,780376119.2373995,2026
211,0.15036426398515867,0.05406883058784539,426173853.97269505,2026
212,0.04935048680884917,-0.0023195253462021444,94054633.05865492,2026
213,0.0020752149171101002,0.07622635474633112,94366201.79406762,2026
311,-0.001631371331403137,0.0141521755948365,950117590.4482625,2026
313,0.01710029970888141,-0.027904605999288644,36880309.80167328,2026
315,0.001986100916577579,0.00042501986325160096,18585178.817687,2026
321,-0.0072612346961990135,-0.0038176446048888875,131438348.60828044,2026
322,0.03967500076660129,-0.014092107706146089,165214418.9879617,2026
323,0.015492059946806656,-0.022799282773350357,60960295.11164346,2026
324,0.0662234518977172,0.04600167162835307,447410227.6496024,2026
325,0.028761942879081025,0.01539224395039105,856879849.2410293,2026
326,0.020008799813541884,0.00409091001542376,222071163.62194395,2026
327,0.037241351654456474,0.006975413599633077,120217618.78111362,2026
331,0.04606172104827192,0.05209691399531119,239103924.95275015,2026
332,0.03534165899145346,0.01870392557360224,309982472.3137744,2026
333,0.017162837844339567,0.019239286065771716,314519982.6180807,2026
334,0.0209857472477346,0.03364127886588683,386308134.337983,2026
335,0.01620827546762343,-0.031343518050113185,136606370.85773575,2026
336,0.0008923827963643344,0.14790387662418333,649790785.8283426,2026
337,0.02985106911188768,-0.06015575316866836,61540861.30593919,2026
339,0.017524438427832845,0.008935526454924993,143706775.23137963,2026
441,0.20120860015537825,0.035426560587393977,429794229.41781366,2026
445,0.03477965527795887,0.0003721608261098427,249659847.71063042,2026
452,0.030836860638967865,0.02405281507654512,228301860.1573598,2026
481,-0.0037786984848723233,-0.022906789027031728,281715261.9872191,2026
482,0.029303810372209808,0.01496425787092881,69993345.65879469,2026
483,0.003732168336947339,-0.05571312870889705,59725489.53341546,2026
484,0.023997245259920644,0.022139562836552957,384854765.11493963,2026
485,-0.013476681870940022,0.07321129101527958,194475633.97219518,2026
486,0.04614225416608289,0.042620915596939576,53656112.216379635,2026
487,0.023417847050351354,-0.003786385366284618,259207122.6349243,2026
493,0.03677701261818024,0.008191625926921041,134671093.14344805,2026
511,-0.018431888639633416,0.07694504211359113,738170258.9547799,2026
512,0.010869701729986877,0.02958630568252242,200025106.0251386,2026
513,-0.013166441270872737,0.025366252883661178,906788273.9854233,2026
514,-0.012654783538309249,0.1326103498673886,1084929528.9181783,2026
521,0.05983517518105763,0.0036330321514244923,1024082468.1907247,2026
523,0.07519720873775207,-0.04026019436300223,788370480.1629342,2026
524,0.0213109277913948,0.0571308699340112,1348790709.3195188,2026
525,0.6021124924283447,1.4114414486827898,183459789.43286365,2026
531,0.01884989086663748,0.019895587318543503,4173028749.6203213,2026
532,0.02068622627650394,0.028241962427810356,576864302.5681795,2026
561,0.03366423499554263,0.05270563544322538,1132413375.352858,2026
562,0.053846457044990824,0.05426505640552058,124815944.07022783,2026
621,0.019910177788828483,0.03151512366065151,1540240759.988981,2026
622,0.029344165670580624,0.015658083311023224,1073678171.200509,2026
623,0.04519966638646277,0.015270515035646836,285936076.47892207,2026
624,0.03742953501095474,0.033189724519886006,279988917.33330786,2026
711,0.019497832644939393,-0.017188872034940995,275860856.2694137,2026
713,0.05530434220702189,-0.01451719804222575,191548399.37620506,2026
721,0.038619279421892805,-0.00986204753561461,293324122.3096197,2026
722,0.06384426311605448,0.05004612288899252,994108258.6162394,2026
5411,0.08245198923593705,-0.0033089416180843313,355521991.0194533,2026
5412,0.013067192661734825,0.036517402898483174,2112041796.2501786,2026
5415,-0.027377276273962574,0.10378721924978221,911556476.8158333,2026
